web_scraper_order,web_scraper_start_url,price,description,sku,name,data,data2,brand,data3,data4,data5,data6,data7,data8,data9,data10,data11,data12,data13,data14,data15,data16,data17,data18,data19,data20,data21,data22,image
"1778257048-34","https://www.infinit.com.uy/catalogo/imagen-audio/infinit/","230","Garantía: 3 AÑOS / NUEVO","MSL32B300N","Monitor SAMSUNG Essential S30B 32 FHD 1080p 75hz FreeSync Hdmi Dp Compatible Vesa 100x100","-16%","NEGRO","SAMSUNG","16","275","USD","Cód.",",00","","Color","Comprar","","Destacado","Antes","USD","Ahora","IVA inc.","En stock","En stock",",00","Cantidad","","%","https://www.infinit.com.uy/imgs/productos/productos3_35070.jpg"
"1778257048-35","https://www.infinit.com.uy/catalogo/imagen-audio/infinit/","231","1 Año de Garantía / Nuevo","PRV-LEN52","Lente CANON EF-M 15-45mm Modelo F/3.5-6.3 IS STM.","","","CANON","","0","USD","Cód.",",46","","","Comprar","","","Antes","USD","Precio","IVA inc.","En stock","En stock",",00","Cantidad","","","https://www.infinit.com.uy/imgs/productos/productos3_37967.jpg"
"1778257048-36","https://www.infinit.com.uy/catalogo/imagen-audio/infinit/","249","Garantía: 6 MESES / OPEN BOX","8886419379639","Barra De Sonido Razer Leviathan V2 X con subwoofer RGB Negro Ref","","NEGRO","RAZER","","0","USD","Cód.",",00","","Color","Comprar","","","Antes","USD","Precio","IVA inc.","En stock","En stock",",00","Cantidad","","","https://www.infinit.com.uy/imgs/productos/productos3_39551.jpg"
"1778257048-37","https://www.infinit.com.uy/catalogo/imagen-audio/infinit/","339","Tasa de refresco de 75 Hz","PRV-MON343","Monitor Asus 27 ProArt IPS QHD 2K 5Ms Graficos Diseño y Fotografía","","","ASUS","","0","USD","Cód.",",40","","","Comprar","","","Antes","USD","Precio","IVA inc.","En stock","En stock",",00","Cantidad","","","https://www.infinit.com.uy/imgs/productos/productos3_41177.jpg"
"1778257048-38","https://www.infinit.com.uy/catalogo/imagen-audio/infinit/","349","Garantía: 1 AÑO / NUEVO EN SERVICE OFICIAL APPLE","AUR123","Auriculares Apple Airpods Pro 2nd gen blancos con estuche Magsafe MQD83","-8%","BLANCO","APPLE","8","378","USD","Cód.",",00","","Color","Comprar","","","Antes","USD","Ahora","IVA inc.","En stock","En stock",",00","Cantidad","","%","https://www.infinit.com.uy/imgs/productos/productos3_40212.jpg"
"1778257048-39","https://www.infinit.com.uy/catalogo/imagen-audio/infinit/","360","Garantía: 1 AÑO / RECERTIFICADO","U32J690WQM","Monitor SAMSUNG Ultra HD 4k Panel Va 4ms LU32J690UQW 2x Hdmi DisplayPort Vesa 100x100","","NEGRO","SAMSUNG","","0","USD","Cód.",",00","","Medida","Comprar","32""","","Antes","USD","Precio","IVA inc.","En stock","En stock",",00","Cantidad","Color","","https://www.infinit.com.uy/imgs/productos/productos3_39048.jpg"
"1778257048-40","https://www.infinit.com.uy/catalogo/imagen-audio/infinit/","374","Garantía: 3 AÑOS / NUEVO","27US500W","Monitor LG LED 27 27US500-W UltraHD 4k Panel Ips 5ms Amd FreeSync 2x Hdmi DisplayPort Vesa 100x100","","BLANCO","LG","","366","USD","Cód.",",00","Consultar","Medida","","27""","","Antes","USD","Ahora","IVA inc.","Agotado","Agotado",",00","","Color","","https://www.infinit.com.uy/imgs/productos/productos3_38004.jpg"
"1778257048-41","https://www.infinit.com.uy/catalogo/imagen-audio/infinit/","377","Garantía: 1 AÑO / NUEVO","CAM700","Camara FUJIFILM Instax Pal Con Impresora Mini Link 2","-7%","","FUJIFILM","7","404","USD","Cód.",",00","","","Comprar","","","Antes","USD","Ahora","IVA inc.","En stock","En stock",",00","Cantidad","","%","https://www.infinit.com.uy/imgs/productos/productos3_37939.jpg"
"1778257048-42","https://www.infinit.com.uy/catalogo/imagen-audio/infinit/","432","Garantía: 1 AÑO / NUEVO","PAR312","Parlante EDIFIER S351db 2.1ch 150w Rms Bluetooth 5.0 Aptx Subwoofer Control Remoto Rca Optico","","NEGRO","EDIFIER","","0","USD","Cód.",",00","","Color","Comprar","","","Antes","USD","Precio","IVA inc.","En stock","En stock",",00","Cantidad","","","https://www.infinit.com.uy/imgs/productos/productos3_8968.jpg"
"1778257048-43","https://www.infinit.com.uy/catalogo/imagen-audio/infinit/","521","1 Año de Garantía / Nuevo. Garantía oficial.","PRV-LEN58","Lente NIKON Nikkor Z DX 24mm f/1.7","","","NIKON","","0","USD","Cód.",",92","","","Comprar","","","Antes","USD","Precio","IVA inc.","En stock","En stock",",00","Cantidad","","","https://www.infinit.com.uy/imgs/productos/productos3_37965.jpg"
"1778257048-44","https://www.infinit.com.uy/catalogo/imagen-audio/infinit/","600","Garantía: 3 AÑOS / NUEVO","MSLS43DM702U","Monitor Inteligente SAMSUNG 43 M7 M70D Panel Lcd VA UHD 4K 60hz 2160p Hdmi Compatible Vesa 200x200","-6%","NEGRO","SAMSUNG","6","639","USD","Cód.",",00","","Color","Comprar","","Destacado","Antes","USD","Ahora","IVA inc.","En stock","En stock",",00","Cantidad","","%","https://www.infinit.com.uy/imgs/productos/productos3_35085.jpg"
"1778257048-45","https://www.infinit.com.uy/catalogo/imagen-audio/infinit/","701","1 Año de Garantía","PRV-CAM497","Camara CANON EOS 2000D 24Mpx Wifi NFC Con Lente 18-55mm","","","CANON","","0","USD","Cód.",",90","","","Comprar","","","Antes","USD","Precio","IVA inc.","En stock","En stock",",00","Cantidad","","","https://www.infinit.com.uy/imgs/productos/productos3_37948.jpg"
"1778257048-46","https://www.infinit.com.uy/catalogo/imagen-audio/infinit/","809","1 Año de Garantía / Nuevo. Garantia oficial.","PRV-LEN54","Lente NIKON Nikkor Z 24-50mm f/4-6.3","","","NIKON","","0","USD","Cód.",",35","","","Comprar","","","Antes","USD","Precio","IVA inc.","En stock","En stock",",00","Cantidad","","","https://www.infinit.com.uy/imgs/productos/productos3_37961.jpg"
"1778257048-47","https://www.infinit.com.uy/catalogo/imagen-audio/infinit/","987","1 Año de Garantía","PRV-CAM672","Camara NIKON Z30 Mirrorless 21.5Mpx Wifi Bluetooth Solo cuerpo","","","NIKON","","0","USD","Cód.",",40","","","Comprar","","","Antes","USD","Precio","IVA inc.","En stock","En stock",",00","Cantidad","","","https://www.infinit.com.uy/imgs/productos/productos3_37955.jpg"
