web_scraper_order,web_scraper_start_url,price,description,sku,name,data,data2,brand,data3,data4,data5,data6,data7,data8,data9,data10,data11,data12,data13,data14,data15,data16,data17,data18,data19,data20,data21,data22,data23,image
"1778256957-81","https://www.infinit.com.uy/catalogo/pc/infinit/","741","Garantía: 1 AÑO / RECERTIFICADO","KITDELL5410I7TOUCH","Notebook DELL Latitude 5410 Intel Core i7 10810u - 16Gb - 512Gb - Pantalla 14 Full HD Táctil - W10P","-4%","GRIS","DELL","4","768","USD","Cód.","14""","",",00","Comprar","","","Antes","USD","Ahora","IVA inc.","En stock","En stock","Color","Medida",",00","Cantidad","%","https://www.infinit.com.uy/imgs/productos/productos3_41026.jpg"
"1778256957-82","https://www.infinit.com.uy/catalogo/pc/infinit/","743","Garantía: 1 AÑO / NUEVO","I02589","Notebook CHUWI Corebook Air Amd Ryzen 5 6600H - 16Gb - 512Gb - Pantalla 14 Wuxga - W11P","","AZUL OSCURO","CHUWI","","0","USD","Cód.","14""","",",00","Comprar","","","Antes","USD","Precio","IVA inc.","En stock","En stock","Color","Medida",",00","Cantidad","","https://www.infinit.com.uy/imgs/productos/productos3_41003.jpg"
"1778256957-83","https://www.infinit.com.uy/catalogo/pc/infinit/","746","Garantía: 1 AÑO / RECERTIFICADO","KL02065R","Notebook HP ELITEBOOK 855 G7 AMD Ryzen 7 Pro 4750u (8 Núcleos) - 16Gb - 512Gb - Pantalla 15.6 Full HD - W11 Pro","-2%","PLATA","HP","2","761","USD","Cód.","15,6""","",",00","Comprar","","","Antes","USD","Ahora","IVA inc.","En stock","En stock","Color","Medida",",00","Cantidad","%","https://www.infinit.com.uy/imgs/productos/productos3_38882.jpg"
"1778256957-84","https://www.infinit.com.uy/catalogo/pc/infinit/","748","Garantía: 3 AÑOS / NUEVO","NG31","PC Gamer AMD Ryzen 5 4600G Ram 16Gb Ddr4 Ssd Nvme 512Gb Video Amd Vega 7 2Gb 1900mhz Wifi Hdmi Incluye Juegos","","","AMD","","726","USD","Cód.","","",",00","Comprar","","","Antes","USD","Ahora","IVA inc.","En stock","En stock","","",",00","Cantidad","","https://www.infinit.com.uy/imgs/productos/productos3_22546.jpg"
"1778256957-85","https://www.infinit.com.uy/catalogo/pc/infinit/","749","Garantía: 1 AÑO / NUEVO","NOT3313","Notebook ASUS Vivobook X1504VA Intel Core 5 120U (10 Nucleos) - 16Gb - 512Gb - Pantalla 15.6 Full Hd - Free Dos","","GRIS","ASUS","","0","USD","Cód.","15,6""","",",00","Comprar","","Nuevo","Antes","USD","Precio","IVA inc.","En stock","En stock","Color","Medida",",00","Cantidad","","https://www.infinit.com.uy/imgs/productos/productos3_41055.jpg"
"1778256957-86","https://www.infinit.com.uy/catalogo/pc/infinit/","754","Garantía: 1 AÑO / RECERTIFICADO","KITNBDELL54001T","Notebook DELL Latitude 5400 Intel Core i5 8265u - 16Gb - Ssd 1Tb - Pantalla 14 Full HD - Win11 Pro","","GRIS OSCURO","DELL","","746","USD","Cód.","14""","",",00","Comprar","","","Antes","USD","Ahora","IVA inc.","En stock","En stock","Color","Medida",",00","Cantidad","","https://www.infinit.com.uy/imgs/productos/productos3_38632.jpg"
"1778256957-87","https://www.infinit.com.uy/catalogo/pc/infinit/","755","Garantía: 1 AÑO / RECERTIFICADO","KITNBI7DELL7410RF256","Notebook DELL Latitude 7410 Intel Core i7 10610u (4 Núcleos) - 32Gb - 256Gb - Pantalla 14 Full HD - W10P","-1%","NEGRO","DELL","1","762","USD","Cód.","14""","",",00","Comprar","","","Antes","USD","Ahora","IVA inc.","En stock","En stock","Color","Medida",",00","Cantidad","%","https://www.infinit.com.uy/imgs/productos/productos3_39481.jpg"
"1778256957-88","https://www.infinit.com.uy/catalogo/pc/infinit/","755","Garantía: 1 AÑO / RECERTIFICADO","KIT5320MON24","Combo Notebook Dell Latitude 5320 Core i7 - 32Gb - 512Gb - Pantalla 13.3"" - W11 Pro - Monitor 24 FHD","","GRIS","DELL","","0","USD","Cód.","13,3""","",",00","Comprar","","Nuevo","Antes","USD","Precio","IVA inc.","En stock","En stock","Color","Medida",",00","Cantidad","","https://www.infinit.com.uy/imgs/productos/productos3_41076.jpg"
"1778256957-89","https://www.infinit.com.uy/catalogo/pc/infinit/","764","Garantía: 3 AÑOS / NUEVO","1OF","Equipo PC INTEL Core i3 13100 13va - 16Gb - Ssd 512Gb - WiFi/Bt - Windows 11 Pro - Teclado Mouse y Parlantes","","NEGRO","INTEL","","747","USD","Cód.","","",",00","Comprar","","","Antes","USD","Ahora","IVA inc.","En stock","En stock","","Color",",00","Cantidad","","https://www.infinit.com.uy/imgs/productos/productos3_14115.jpg"
"1778256957-90","https://www.infinit.com.uy/catalogo/pc/infinit/","770","Garantía: 1 AÑO / RECERTIFICADO","KITNBI7DELL7410RFTOU","Notebook DELL LATITUDE 7410 Intel Core i7 10610u (4 Núcleos) - 32Gb - 256Gb - Pantalla 14 Full HD Tactil - W10P","-1%","NEGRO","DELL","1","778","USD","Cód.","14""","",",00","Comprar","","","Antes","USD","Ahora","IVA inc.","En stock","En stock","Color","Medida",",00","Cantidad","%","https://www.infinit.com.uy/imgs/productos/productos3_39592.jpg"
