web_scraper_order,web_scraper_start_url,price,description,sku,name,data,data2,brand,data3,data4,data5,data6,data7,data8,data9,data10,data11,data12,data13,data14,data15,data16,data17,data18,data19,data20,data21,data22,data23,image
"1778256957-123","https://www.infinit.com.uy/catalogo/pc/infinit/","1.051","Garantía: 1 AÑO / RECERTIFICADO","KITNBDELL540032G","Notebook DELL Latitude 5400 Intel Core i5 8265u - 32Gb - Ssd 1Tb - Pantalla 14 Full HD - Win11 Pro","","GRIS OSCURO","DELL","","1.043","USD","Cód.","14""","",",00","Comprar","","","Antes","USD","Ahora","IVA inc.","En stock","En stock","Color","Medida",",00","Cantidad","","https://www.infinit.com.uy/imgs/productos/productos3_38637.jpg"
"1778256957-124","https://www.infinit.com.uy/catalogo/pc/infinit/","1.052","Garantía: 1 AÑO / NUEVO","X1607CAMB110W","Notebook ASUS Vivobook 16 X1607CA Intel Ultra 5 225H (14 Nucleos) - 16Gb - 512Gb - Pantalla 16 Wuxga - W11","-1%","AZUL OSCURO","ASUS","1","1.060","USD","Cód.","16""","",",00","Comprar","","","Antes","USD","Ahora","IVA inc.","En stock","En stock","Color","Medida",",00","Cantidad","%","https://www.infinit.com.uy/imgs/productos/productos3_40975.jpg"
"1778256957-125","https://www.infinit.com.uy/catalogo/pc/infinit/","1.057","Garantía: 1 AÑO / NUEVO","NOT3125","Notebook HP Victus 15-FA2013DX Intel Core I5 13420H (8 Núcleos) - Rtx 3050 6Gb - 8Gb - 512Gb - Pantalla 15.6 Full HD","","GRIS OSCURO","HP","","991","USD","Cód.","15,6""","",",00","Comprar","","","Antes","USD","Ahora","IVA inc.","En stock","En stock","Color","Medida",",00","Cantidad","","https://www.infinit.com.uy/imgs/productos/productos3_30064.jpg"
"1778256957-126","https://www.infinit.com.uy/catalogo/pc/infinit/","1.059","Garantía: 1 AÑO / RECERTIFICADO","KITOKNOT7632","Notebook DELL Latitude 5410 Intel Core i5 10310u (4 Núcleos) - 32Gb - 1Tb - Pantalla 14 Full HD - W11P","","GRIS","DELL","","1.052","USD","Cód.","14""","",",00","Comprar","","","Antes","USD","Ahora","IVA inc.","En stock","En stock","Color","Medida",",00","Cantidad","","https://www.infinit.com.uy/imgs/productos/productos3_39426.jpg"
"1778256957-127","https://www.infinit.com.uy/catalogo/pc/infinit/","1.059","Garantía: 1 AÑO / NUEVO","NOT3290","Notebook ASUS Vivobook M1407KA Ryzen AI 7 350 (8 Nucleos) - 16Gb - 512Gb - Pantalla 14 FHD+ Win11","-2%","NEGRO","ASUS","2","1.082","USD","Cód.","14""","",",00","Comprar","","","Antes","USD","Ahora","IVA inc.","En stock","En stock","Color","Medida",",00","Cantidad","%","https://www.infinit.com.uy/imgs/productos/productos3_40607.jpg"
"1778256957-128","https://www.infinit.com.uy/catalogo/pc/infinit/","1.060","Garantía: 1 AÑO / NUEVO","NOT3321","Notebook Gamer ASUS TUF A15 Ryzen 7 7445HS (6 Núcleos) - RTX 3050 4Gb - 8Gb - 512Gb - Pantalla 15,6 FHD 144Hz - FreeDOS","","NEGRO","ASUS","","0","USD","Cód.","15,6""","",",00","Comprar","","Nuevo","Antes","USD","Precio","IVA inc.","En stock","En stock","Color","Medida",",00","Cantidad","","https://www.infinit.com.uy/imgs/productos/productos3_41471.jpg"
"1778256957-129","https://www.infinit.com.uy/catalogo/pc/infinit/","1.072","Open box. Modelo MGN63. Año 2020","PRV-NOT2668X","Apple Macbook Air M1 Octacore, 8GB, 256GB SSD, 13.3'' Retina Teclado Español","","","APPLE","","0","USD","Cód.","","",",93","Comprar","","","Antes","USD","Precio","IVA inc.","En stock","En stock","","",",00","Cantidad","","https://www.infinit.com.uy/imgs/productos/productos3_40469.jpg"
"1778256957-130","https://www.infinit.com.uy/catalogo/pc/infinit/","1.074","Garantía: 3 AÑOS / NUEVO","NG011","PC Gamer AMD Ryzen 5 4500 Video Arc A380 6Gb Gddr6 RAM 16Gb Ssd Nvme 512Gb Wifi Bt Monitor 22 100Hz Combo Accesorios","","NEGRO","AMD","","1.075","USD","Cód.","","",",00","Comprar","Destacado","","Antes","USD","Ahora","IVA inc.","En stock","En stock","","Color",",00","Cantidad","","https://www.infinit.com.uy/imgs/productos/productos3_35620.jpg"
"1778256957-131","https://www.infinit.com.uy/catalogo/pc/infinit/","1.075","Garantía: 1 AÑO / NUEVO","0803K3605VC","Notebook ASUS Vivobook 16X Intel Core I5 13420H (8 Nucleos) 16Gb Ddr4 Nvme 512Gb Pantalla 16 Wuxga Rtx 3050 4Gb W11","-5%","NEGRO","ASUS","5","1.127","USD","Cód.","16""","",",00","Comprar","","","Antes","USD","Ahora","IVA inc.","En stock","En stock","Color","Medida",",00","Cantidad","%","https://www.infinit.com.uy/imgs/productos/productos3_40790.jpg"
"1778256957-132","https://www.infinit.com.uy/catalogo/pc/infinit/","1.088","Garantía: 3 AÑOS / NUEVO","NG045","PC Gamer AMD Ryzen 7 5700G RAM 16Gb Ddr4 Ssd Nvme 1Tb Monitor 22"" 100Hz Wifi Bt Teclado Mouse Auricular MousePad W11","","","AMD","","1.053","USD","Cód.","","",",00","Comprar","","","Antes","USD","Ahora","IVA inc.","En stock","En stock","","",",00","Cantidad","","https://www.infinit.com.uy/imgs/productos/productos3_36382.jpg"
"1778256957-133","https://www.infinit.com.uy/catalogo/pc/infinit/","1.089","Garantía: 1 AÑO / NUEVO","NOT3291","Notebook Gamer ASUS TUF A15 Ryzen 7 7445HS (6 Núcleos) - RTX 3050 4Gb - 8Gb - 512Gb - Pantalla 15,6 FHD 144Hz - Win11","-6%","NEGRO","ASUS","6","1.163","USD","Cód.","15,6""","",",00","Comprar","","","Antes","USD","Ahora","IVA inc.","En stock","En stock","Color","Medida",",00","Cantidad","%","https://www.infinit.com.uy/imgs/productos/productos3_40603.jpg"
"1778256957-134","https://www.infinit.com.uy/catalogo/pc/infinit/","1.092","Garantía: 3 AÑOS / NUEVO","NG024","PC Gamer AMD Ryzen 5 5600GT RAM 16Gb Ssd Nvme 1Tb Video Vega 7 Wifi Bt Monitor 22 100Hz Teclado Mouse Auricular W11","","","AMD","","1.081","USD","Cód.","22""","",",00","Comprar","","","Antes","USD","Ahora","IVA inc.","En stock","En stock","","Medida",",00","Cantidad","","https://www.infinit.com.uy/imgs/productos/productos3_21524.jpg"
"1778256957-135","https://www.infinit.com.uy/catalogo/pc/infinit/","1.097","Garantía: 3 AÑOS / NUEVO","NG36","PC Gamer AMD Ryzen 5 8500G Ram 16Gb Ddr5 Ssd Nvme 1Tb Video Radeon 760m Dp Hdmi Wifi Win11 64bit Español Juegos","","","AMD","","1.088","USD","Cód.","","",",00","Comprar","Destacado","","Antes","USD","Ahora","IVA inc.","En stock","En stock","","",",00","Cantidad","","https://www.infinit.com.uy/imgs/productos/productos3_33547.jpg"
"1778256957-136","https://www.infinit.com.uy/catalogo/pc/infinit/","1.108","Garantía: 3 AÑOS / NUEVO","NG013","PC Gamer AMD Ryzen 5 4500 Video Rx580 8Gb RAM 16Gb Ddr4 Ssd Nvme 1Tb Wifi Bt Windows 10 64bit","","","AMD","","1.100","USD","Cód.","","Consultar",",00","","","","Antes","USD","Ahora","IVA inc.","Agotado","Agotado","","",",00","","","https://www.infinit.com.uy/productos/imgs/ryzen-5-4500-rx580-35650-3.jpg"
"1778256957-137","https://www.infinit.com.uy/catalogo/pc/infinit/","1.113","Garantía: 1 AÑO / NUEVO","NOT3387","Notebook Gamer ASUS TUF A15 Ryzen 7 170 (8 Núcleos) - RTX 3050 4Gb - 16Gb - 512Gb - Pantalla 15,6 FHD 144Hz - FreeDOS","","","ASUS","","0","USD","Cód.","15,6""","",",00","Comprar","","Nuevo","Antes","USD","Precio","IVA inc.","En stock","En stock","","Medida",",00","Cantidad","","https://www.infinit.com.uy/imgs/productos/productos3_41482.jpg"
"1778256957-138","https://www.infinit.com.uy/catalogo/pc/infinit/","1.119","Garantía: 3 AÑOS / NUEVO","NG046","PC Gamer AMD Ryzen 7 5700G RAM 16Gb Ddr4 Ssd Nvme 1Tb Monitor 24"" 100Hz Wifi Bt Teclado Mouse Auricular MousePad W11","","","AMD","","1.106","USD","Cód.","","",",00","Comprar","Destacado","","Antes","USD","Ahora","IVA inc.","En stock","En stock","","",",00","Cantidad","","https://www.infinit.com.uy/imgs/productos/productos3_36391.jpg"
"1778256957-139","https://www.infinit.com.uy/catalogo/pc/infinit/","1.121","Garantía: 3 AÑOS / NUEVO","9OFMON22","Equipo PC INTEL Core i7 12700 12va Gen - 16Gb - Ssd 512Gb - Wifi/Bt - Monitor 22"" - Windows 11 Pro - Accesorios","-5%","","INTEL","5","1.179","USD","Cód.","","",",00","Comprar","","","Antes","USD","Ahora","IVA inc.","En stock","En stock","","",",00","Cantidad","%","https://www.infinit.com.uy/productos/imgs/core-i7-12700-29672-3.jpg"
"1778256957-140","https://www.infinit.com.uy/catalogo/pc/infinit/","1.136","Garantía: 3 AÑOS / NUEVO","NG047","PC Gamer AMD Ryzen 7 5700G RAM 16Gb Ddr4 Ssd Nvme 1Tb Monitor 27"" 100Hz Wifi Bt Teclado Mouse Auricular MousePad W11","","","AMD","","1.124","USD","Cód.","","",",00","Comprar","Destacado","","Antes","USD","Ahora","IVA inc.","En stock","En stock","","",",00","Cantidad","","https://www.infinit.com.uy/imgs/productos/productos3_36400.jpg"
"1778256957-141","https://www.infinit.com.uy/catalogo/pc/infinit/","1.165","Garantía: 3 AÑOS / NUEVO","NG26","PC Gamer AMD Ryzen 5 8600G Ram 16Gb Ddr5 Ssd Nvme 1Tb Video Radeon 760m Dp Hdmi Wifi Bluetooth Win11 64bit Español","","","AMD","","1.090","USD","Cód.","","",",00","Comprar","Destacado","","Antes","USD","Ahora","IVA inc.","En stock","En stock","","",",00","Cantidad","","https://www.infinit.com.uy/imgs/productos/productos3_33249.jpg"
"1778256957-142","https://www.infinit.com.uy/catalogo/pc/infinit/","1.182","Garantía: 3 AÑOS / NUEVO","NG034","PC Gamer AMD Ryzen 7 5700G RAM 32Gb Ddr4 Ssd Nvme 1Tb Video Rx Radeon 2Gb Hdmi Wifi Bt Windows 11 64bit","","","AMD","","1.159","USD","Cód.","","",",00","Comprar","","","Antes","USD","Ahora","IVA inc.","En stock","En stock","","",",00","Cantidad","","https://www.infinit.com.uy/imgs/productos/productos3_17917.jpg"
"1778256957-143","https://www.infinit.com.uy/catalogo/pc/infinit/","1.197","Garantía: 3 AÑOS / NUEVO","NG010-MON1","PC Gamer AMD Ryzen 3 5300G (4 Núcleos) - RAM 32Gb - Ssd 1Tb - Monitor 24"" 100Hz - Wifi/Bt Combo Accesorios Windows","","","AMD","","1.175","USD","Cód.","","",",00","Comprar","","","Antes","USD","Ahora","IVA inc.","En stock","En stock","","",",00","Cantidad","","https://www.infinit.com.uy/imgs/productos/productos3_35612.jpg"
"1778256957-144","https://www.infinit.com.uy/catalogo/pc/infinit/","1.200","Garantía: 1 AÑO / RECERTIFICADO","KITKL02065R","Notebook HP Elitebook 855 G7 AMD Ryzen 7 Pro 4750u (8 Núcleos) - 32Gb - 1Tb - Pantalla 15.6 Full HD - W11 Pro","-1%","PLATA","HP","1","1.215","USD","Cód.","15,6""","",",00","Comprar","","","Antes","USD","Ahora","IVA inc.","En stock","En stock","Color","Medida",",00","Cantidad","%","https://www.infinit.com.uy/imgs/productos/productos3_39156.jpg"
"1778256957-145","https://www.infinit.com.uy/catalogo/pc/infinit/","1.209","Garantía: 3 AÑOS / NUEVO","NG36-MON1","PC Gamer AMD Ryzen 5 8500G (6 Núcleos) - RAM 16Gb - Ssd 1Tb - Monitor 24"" 100Hz - Wifi/Bt Combo Accesorios Windows","","","AMD","","1.191","USD","Cód.","","",",00","Comprar","","","Antes","USD","Ahora","IVA inc.","En stock","En stock","","",",00","Cantidad","","https://www.infinit.com.uy/imgs/productos/productos3_38540.jpg"
"1778256957-146","https://www.infinit.com.uy/catalogo/pc/infinit/","1.209","Garantía: 1 AÑO / RECERTIFICADO","KITNBI7DELL7410RF32G","Notebook DELL Latitude 7410 Intel Core i7 10610u (4 Núcleos) - 32Gb - 1Tb - Pantalla 14 Full HD - W10P","","NEGRO","DELL","","1.201","USD","Cód.","14""","",",00","Comprar","","","Antes","USD","Ahora","IVA inc.","En stock","En stock","Color","Medida",",00","Cantidad","","https://www.infinit.com.uy/imgs/productos/productos3_39305.jpg"
"1778256957-147","https://www.infinit.com.uy/catalogo/pc/infinit/","1.215","Garantía: 1 AÑO / RECERTIFICADO","KITNT056DEL2832G","Notebook DELL Latitude 7420 Intel Core i5 1145G7 11va (4 Núcleos) - 32Gb - 1Tb - Pantalla 14"" Full HD - W10 Pro","","GRIS","DELL","","1.207","USD","Cód.","14""","",",00","Comprar","","","Antes","USD","Ahora","IVA inc.","En stock","En stock","Color","Medida",",00","Cantidad","","https://www.infinit.com.uy/imgs/productos/productos3_39072.jpg"
"1778256957-148","https://www.infinit.com.uy/catalogo/pc/infinit/","1.224","Garantía: 3 AÑOS / NUEVO","NG017","PC Gamer AMD Ryzen 5 5600XT Video Rx 580 8Gb RAM 16Gb Ddr4 Ssd Nvme 1Tb Wifi Bluetooth Windows 11 64bit","","","AMD","","1.210","USD","Cód.","","",",00","Comprar","","","Antes","USD","Ahora","IVA inc.","En stock","En stock","","",",00","Cantidad","","https://www.infinit.com.uy/imgs/productos/productos3_23801.jpg"
"1778256957-149","https://www.infinit.com.uy/catalogo/pc/infinit/","1.228","Garantía: 3 AÑOS / NUEVO","12OF","Equipo PC INTEL Core i5 12400 12va - 32Gb - Ssd 1Tb - Wifi/Bt - Windows 11 Pro - Teclado Mouse y Parlantes","","","INTEL","","1.153","USD","Cód.","","",",00","Comprar","","","Antes","USD","Ahora","IVA inc.","En stock","En stock","","",",00","Cantidad","","https://www.infinit.com.uy/imgs/productos/productos3_24625.jpg"
"1778256957-150","https://www.infinit.com.uy/catalogo/pc/infinit/","1.237","Garantía: 3 AÑOS / NUEVO","GINT-MON1","PC Gamer INTEL Core i5 10400F - Rx 560 4Gb - RAM 16Gb - Ssd 1Tb - Monitor 24 - Wifi/Bt - Accesorios - Windows","","","INTEL","","1.171","USD","Cód.","","",",00","Comprar","","","Antes","USD","Ahora","IVA inc.","En stock","En stock","","",",00","Cantidad","","https://www.infinit.com.uy/imgs/productos/productos3_19861.jpg"
"1778256957-151","https://www.infinit.com.uy/catalogo/pc/infinit/","1.263","Nuevo. Modelo Aspire C27","PRV-EQU2039","Equipo All in One Acer Ryzen 7 5825U 16GB 1TB SSD 27"" FHD","","","ACER","","0","USD","Cód.","","",",51","Comprar","","Nuevo","Antes","USD","Precio","IVA inc.","En stock","En stock","","",",00","Cantidad","","https://www.infinit.com.uy/imgs/productos/productos3_41098.jpg"
"1778256957-152","https://www.infinit.com.uy/catalogo/pc/infinit/","1.272","Garantía: 3 AÑOS / NUEVO","NG026-MON1","PC Gamer AMD Ryzen 5 5600G (6 Núcleos) - RAM 32Gb - Ssd 1Tb - Monitor 24"" 100Hz - Wifi/Bt Combo Accesorios Windows","","","AMD","","1.251","USD","Cód.","","",",00","Comprar","","","Antes","USD","Ahora","IVA inc.","En stock","En stock","","",",00","Cantidad","","https://www.infinit.com.uy/imgs/productos/productos3_33217.jpg"
"1778256957-153","https://www.infinit.com.uy/catalogo/pc/infinit/","1.278","Garantía: 1 AÑO / NUEVO","KITNAX1502VANJ6","Notebook ASUS Vivobook X1502VA Intel Core I7 13620h (10 Core) - 32Gb - 1Tb - Pantalla 15.6 Full HD - W11","-1%","AZUL OSCURO","ASUS","1","1.287","USD","Cód.","15,6""","",",00","Comprar","","","Antes","USD","Ahora","IVA inc.","En stock","En stock","Color","Medida",",00","Cantidad","%","https://www.infinit.com.uy/imgs/productos/productos3_39282.jpg"
"1778256957-154","https://www.infinit.com.uy/catalogo/pc/infinit/","1.284","Garantía: 3 AÑOS / NUEVO","NG031-MON1","PC Gamer AMD Ryzen 5 5600GT (6 Núcleos) - RAM 32Gb - Ssd 1Tb - Monitor 24"" 100Hz - Wifi/Bt Combo Accesorios Windows","","","AMD","","1.254","USD","Cód.","","",",00","Comprar","","","Antes","USD","Ahora","IVA inc.","En stock","En stock","","",",00","Cantidad","","https://www.infinit.com.uy/imgs/productos/productos3_29710.jpg"
"1778256957-155","https://www.infinit.com.uy/catalogo/pc/infinit/","1.303","Garantía: 3 AÑOS / NUEVO","INTNG30","PC Gamer INTEL Core i5 14400F 16Gb Ddr5 Ssd Nvme 1Tb Video Amd Radeon Rx 580 8Gb Gddr5 Wifi Bt W11 3 Años Garantía","","NEGRO","INTEL","","1.197","USD","Cód.","","Consultar",",00","","","","Antes","USD","Ahora","IVA inc.","Agotado","Agotado","","Color",",00","","","https://www.infinit.com.uy/imgs/productos/productos3_21159.jpg"
"1778256957-156","https://www.infinit.com.uy/catalogo/pc/infinit/","1.315","Garantía: 3 AÑOS / NUEVO","NG018-MON3","PC Gamer AMD Ryzen 5 5600G (6 Núcleos) - RAM 32Gb - Ssd 1Tb - Monitor 27"" 100Hz - Wifi/Bt Combo Accesorios Windows","","","AMD","","1.176","USD","Cód.","","",",00","Comprar","","","Antes","USD","Ahora","IVA inc.","En stock","En stock","","",",00","Cantidad","","https://www.infinit.com.uy/imgs/productos/productos3_18519.jpg"
"1778256957-157","https://www.infinit.com.uy/catalogo/pc/infinit/","1.318","Garantía: 3 AÑOS / NUEVO","NG015","PC Gamer AMD Ryzen 5 5600XT Video Rtx 3050 6Gb RAM 16Gb Ddr4 Ssd Nvme 1Tb Wifi Bluetooth Windows 11 64bit","","NEGRO","AMD","","1.314","USD","Cód.","","",",00","Comprar","","","Antes","USD","Ahora","IVA inc.","En stock","En stock","","Color",",00","Cantidad","","https://www.infinit.com.uy/imgs/productos/productos3_15530.jpg"
"1778256957-158","https://www.infinit.com.uy/catalogo/pc/infinit/","1.331","Garantía: 3 AÑOS / NUEVO","NG032","PC Gamer AMD Ryzen 7 5700G RAM 32Gb Ddr4 Ssd Nvme 1Tb Monitor 24"" 100Hz Wifi Bt Teclado Mouse Auricular MousePad W11","","","AMD","","1.311","USD","Cód.","","",",00","Comprar","","","Antes","USD","Ahora","IVA inc.","En stock","En stock","","",",00","Cantidad","","https://www.infinit.com.uy/imgs/productos/productos3_14215.jpg"
"1778256957-159","https://www.infinit.com.uy/catalogo/pc/infinit/","1.332","Garantía: 1 AÑO / NUEVO","NOT3158","Notebook ASUS Vivobook S16 Ryzen 9 270 (8 Nucleos) - 16Gb - 1Tb - Pantalla 16 WUXGA 144Hz - Win11","-10%","NEGRO","ASUS","10","1.475","USD","Cód.","16""","",",00","Comprar","","","Antes","USD","Ahora","IVA inc.","En stock","En stock","Color","Medida",",00","Cantidad","%","https://www.infinit.com.uy/imgs/productos/productos3_40616.jpg"
"1778256957-160","https://www.infinit.com.uy/catalogo/pc/infinit/","1.333","Garantía: 3 AÑOS / NUEVO","NG014","PC Gamer AMD Ryzen 5 5600XT Video Gtx 1660Ti 6Gb RAM 16Gb Ddr4 Ssd Nvme 1Tb Wifi Bluetooth Windows 11 64bit","","NEGRO","AMD","","1.330","USD","Cód.","","",",00","Comprar","","","Antes","USD","Ahora","IVA inc.","En stock","En stock","","Color",",00","Cantidad","","https://www.infinit.com.uy/imgs/productos/productos3_14200.jpg"
"1778256957-161","https://www.infinit.com.uy/catalogo/pc/infinit/","1.337","Garantía: 3 AÑOS / NUEVO","NG012","PC Gamer AMD Ryzen 5 4500 Video Rtx 1650 4Gb Gddr6 RAM 16Gb Ssd Nvme 1Tb Wifi Bt Monitor 22 100Hz Combo Accesorios","","NEGRO","AMD","","1.338","USD","Cód.","","",",00","Comprar","","","Antes","USD","Ahora","IVA inc.","En stock","En stock","","Color",",00","Cantidad","","https://www.infinit.com.uy/imgs/productos/productos3_35628.jpg"
"1778256957-162","https://www.infinit.com.uy/catalogo/pc/infinit/","1.344","Garantía: 3 AÑOS / NUEVO","PCG-AMD31","PC Gamer AMD Ryzen 5 5500 Ram 32Gb Ddr4 Nvme 2Tb Rtx 3050 8Gb Gddr6 Hdmi Dp Juegos Wifi Win10 Juegos Instalados","-1%","NEGRO","AMD","1","1.359","USD","Cód.","","",",00","Comprar","","","Antes","USD","Ahora","IVA inc.","En stock","En stock","","Color",",00","Cantidad","%","https://www.infinit.com.uy/imgs/productos/productos3_14526.jpg"
"1778256957-163","https://www.infinit.com.uy/catalogo/pc/infinit/","1.351","Garantía: 3 AÑOS / NUEVO","NG051","PC Gamer AMD Ryzen 7 5700G RAM 32Gb Ddr4 Ssd Nvme 1Tb Monitor 27"" 100Hz Wifi Bt Teclado Mouse Auricular MousePad W11","","","AMD","","1.331","USD","Cód.","","",",00","Comprar","","","Antes","USD","Ahora","IVA inc.","En stock","En stock","","",",00","Cantidad","","https://www.infinit.com.uy/imgs/productos/productos3_36474.jpg"
"1778256957-164","https://www.infinit.com.uy/catalogo/pc/infinit/","1.357","Garantía: 3 AÑOS / NUEVO","NG39","PC Gamer AMD Ryzen 5 8600G (6 Núcleos) - RAM 32Gb - Ssd 1Tb - Wifi/Bt - Video Radeom 760m - Win11 Pro","","","AMD","","1.273","USD","Cód.","","",",00","Comprar","","","Antes","USD","Ahora","IVA inc.","En stock","En stock","","",",00","Cantidad","","https://www.infinit.com.uy/imgs/productos/productos3_34056.jpg"
"1778256957-165","https://www.infinit.com.uy/catalogo/pc/infinit/","1.358","Garantía: 1 AÑO / NUEVO","NA3607RP064W","Notebook ASUS Vivobook S16 Ryzen 9 270 - 16Gb - Ssd 1Tb - Pantalla 16"" Wuxga 144hz - W11","-3%","GRIS","ASUS","3","1.406","USD","Cód.","16""","",",00","Comprar","","","Antes","USD","Ahora","IVA inc.","En stock","En stock","Color","Medida",",00","Cantidad","%","https://www.infinit.com.uy/imgs/productos/productos3_39248.jpg"
"1778256957-166","https://www.infinit.com.uy/catalogo/pc/infinit/","1.359","Garantía: 3 AÑOS / NUEVO","NG08","PC Gamer AMD Ryzen 7 5700G RAM 32Gb Ddr4 Ssd Nvme 1Tb Monitor 24"" 180Hz Curvo Wifi Bt Teclado Auricular MousePad W11","","","AMD","","1.340","USD","Cód.","","",",00","Comprar","","","Antes","USD","Ahora","IVA inc.","En stock","En stock","","",",00","Cantidad","","https://www.infinit.com.uy/imgs/productos/productos3_35596.jpg"
"1778256957-167","https://www.infinit.com.uy/catalogo/pc/infinit/","1.367","Garantía: 3 AÑOS / NUEVO","INTNG54","PC Gamer Intel Core i3 14100f Video Rtx 3050 6Gb RAM 16Gb Ddr5 Ssd Nvme 1Tb Wifi Bt Hdmi Dp Windows 11 64bit","-2%","","INTEL","2","1.402","USD","Cód.","","",",00","Comprar","Destacado","","Antes","USD","Ahora","IVA inc.","En stock","En stock","","",",00","Cantidad","%","https://www.infinit.com.uy/imgs/productos/productos3_36660.jpg"
"1778256957-168","https://www.infinit.com.uy/catalogo/pc/infinit/","1.370","Garantía: 6 MESES / RECERTIFICADO","A2141I9RFR","APPLE Macbook Pro 2019 Intel Core i9 - Video Radeon Pro 5300M 4Gb - RAM 16Gb - 1Tb Pantalla 16 Retina Touchbar Tahoe","","PLATA","APPLE","","0","USD","Cód.","16""","",",00","Comprar","","","Antes","USD","Precio","IVA inc.","En stock","En stock","Color","Medida",",00","Cantidad","","https://www.infinit.com.uy/imgs/productos/productos3_40466.jpg"
"1778256957-169","https://www.infinit.com.uy/catalogo/pc/infinit/","1.380","Garantía: 3 AÑOS / NUEVO","GINT2","PC Gamer INTEL Core i3 13100F 13va - Rtx 3050 6Gb - RAM 16Gb - Ssd 1Tb - Wifi/Bt - Windows 10 u 11 Pro","","","INTEL","","1.320","USD","Cód.","","",",00","Comprar","","","Antes","USD","Ahora","IVA inc.","En stock","En stock","","",",00","Cantidad","","https://www.infinit.com.uy/imgs/productos/productos3_12860.jpg"
"1778256957-170","https://www.infinit.com.uy/catalogo/pc/infinit/","1.386","Garantía: 3 AÑOS / NUEVO","INTNG4","PC Gamer Intel Core i5 12400f Video Rtx 3050 8Gb Ram 16Gb Ddr4 Ssd Nvme 1Tb Wifi Hdmi W11","-2%","","INTEL","2","1.421","USD","Cód.","","",",00","Comprar","","","Antes","USD","Ahora","IVA inc.","En stock","En stock","","",",00","Cantidad","%","https://www.infinit.com.uy/imgs/productos/productos1_14878.jpg"
"1778256957-171","https://www.infinit.com.uy/catalogo/pc/infinit/","1.390","Garantía: 3 AÑOS / NUEVO","INTNG29","PC Gamer Intel Core i3 12100f Ram 16Gb Ddr4 Ssd Nvme 512Gb Rtx 3060 12Gb Gddr6 Dp Hdmi Wifi Juegos Instalados","","NEGRO","INTEL","","1.304","USD","Cód.","","",",00","Comprar","Destacado","","Antes","USD","Ahora","IVA inc.","En stock","En stock","","Color",",00","Cantidad","","https://www.infinit.com.uy/imgs/productos/productos3_21112.jpg"
"1778256957-172","https://www.infinit.com.uy/catalogo/pc/infinit/","1.391","Garantía: 3 AÑOS / NUEVO","11OF","Equipo PC INTEL Core i7 12700 12va - 32Gb - Ssd 1Tb - Wifi/Bt - Windows 11 Pro - Teclado Mouse y Parlantes","","","INTEL","","1.391","USD","Cód.","","",",00","Comprar","","","Antes","USD","Precio","IVA inc.","En stock","En stock","","",",00","Cantidad","","https://www.infinit.com.uy/imgs/productos/productos3_28823.jpg"
"1778256957-173","https://www.infinit.com.uy/catalogo/pc/infinit/","1.412","Garantía: 1 AÑO / NUEVO","KITNOT3125","Notebook HP Victus 15-FA2013DX Intel Core I5 13420H (8 Núcleos) - Rtx 3050 6Gb - 16Gb - 1Tb - Pantalla 15.6 Full HD","","GRIS OSCURO","HP","","1.368","USD","Cód.","15,6""","",",00","Comprar","","","Antes","USD","Ahora","IVA inc.","En stock","En stock","Color","Medida",",00","Cantidad","","https://www.infinit.com.uy/imgs/productos/productos3_39012.jpg"
"1778256957-174","https://www.infinit.com.uy/catalogo/pc/infinit/","1.415","Garantía: 3 AÑOS / NUEVO","NG018","PC Gamer AMD Ryzen 5 5600XT Video Rx 580 8Gb RAM 32Gb Ddr4 Ssd Nvme 1Tb Wifi Bluetooth Windows 11 64bit","","","AMD","","1.372","USD","Cód.","","",",00","Comprar","","","Antes","USD","Ahora","IVA inc.","En stock","En stock","","",",00","Cantidad","","https://www.infinit.com.uy/imgs/productos/productos3_26852.jpg"
"1778256957-175","https://www.infinit.com.uy/catalogo/pc/infinit/","1.434","Garantía: 3 AÑOS / NUEVO","NG073","PC Gamer AMD Ryzen 7 5700G RAM 32Gb Ddr4 Ssd Nvme 1Tb 2 Monitores 22"" 100Hz Wifi Bt Teclado Mouse Auricular MousePad W11","","","AMD","","1.401","USD","Cód.","","",",00","Comprar","","","Antes","USD","Ahora","IVA inc.","En stock","En stock","","",",00","Cantidad","","https://www.infinit.com.uy/imgs/productos/productos3_17459.jpg"
"1778256957-176","https://www.infinit.com.uy/catalogo/pc/infinit/","1.449","Garantía: 3 AÑOS / NUEVO","NG072","PC Gamer AMD Ryzen 7 5700G RAM 32Gb Ddr4 Ssd Nvme 1Tb 2 Monitores 24"" 100Hz Wifi Bt Teclado Mouse Auricular MousePad W11","","","AMD","","1.417","USD","Cód.","","",",00","Comprar","","","Antes","USD","Ahora","IVA inc.","En stock","En stock","","",",00","Cantidad","","https://www.infinit.com.uy/imgs/productos/productos3_16858.jpg"
"1778256957-177","https://www.infinit.com.uy/catalogo/pc/infinit/","1.463","Garantía: 3 AÑOS / NUEVO","10OF","Equipo PC INTEL Core i7 13700 13va - 32Gb - Ssd 1Tb - Wifi/Bt - Windows 11 Pro - Teclado Mouse y Parlantes","","","INTEL","","1.371","USD","Cód.","","",",00","Comprar","","","Antes","USD","Ahora","IVA inc.","En stock","En stock","","",",00","Cantidad","","https://www.infinit.com.uy/imgs/productos/productos3_28822.jpg"
