web_scraper_order,web_scraper_start_url,price,description,sku,name,data,data2,data3,brand,data4,data5,data6,data7,data8,data9,data10,data11,data12,data13,data14,data15,data16,data17,data18,data19,data20,data21,data22,data23,image
"1778255771-164","https://www.infinit.com.uy/catalogo/gamer/infinit/","234","Garantía: 1 AÑO / NUEVO","BFXTRS","Soporte THERMALTAKE Triple Para Monitor SNOW GEA-RMS-TMSWHT-01","","BLANCO","","THERMALTAKE","0",",00","USD","Cód.","","","Color","Comprar","","","Antes","USD",",00","Precio","IVA inc.","En stock","En stock","","Cantidad","","https://www.infinit.com.uy/imgs/productos/productos3_36733.jpg"
"1778255771-165","https://www.infinit.com.uy/catalogo/gamer/infinit/","234","Garantía: 2 AÑOS / NUEVO","9S63CE51T002","Monitor Gamer MSI MAG 27 G272F 200Hz 0.5Ms FHd 1080p Panel UR Ips Adaptative Sync Hdmi Dp Compatible Vesa 100x100","","NEGRO","","MSI","0",",00","USD","Cód.","27""","","Medida","Comprar","","","Antes","USD",",00","Precio","IVA inc.","En stock","En stock","Color","Cantidad","","https://www.infinit.com.uy/imgs/productos/productos3_40291.jpg"
"1778255771-166","https://www.infinit.com.uy/catalogo/gamer/infinit/","235","Garantía: 2 AÑOS / NUEVO","BFX1TRX","Capturadora Video Externa ELGATO Game S 10GBR9901 4k 60Fps Hdmi","","","","ELGATO","0",",00","USD","Cód.","","","","Comprar","","Nuevo","Antes","USD",",00","Precio","IVA inc.","En stock","En stock","","Cantidad","","https://www.infinit.com.uy/imgs/productos/productos3_41128.jpg"
"1778255771-167","https://www.infinit.com.uy/catalogo/gamer/infinit/","243","Garantía: 1 AÑO / NUEVO","HX1415","Auricular HYPERX CLOUD ALPHA Inalambricos Audio Espacial DTS Para PC","","ROJO","","HYPERX","0",",00","USD","Cód.","","","Color","Comprar","","","Antes","USD",",00","Precio","IVA inc.","En stock","En stock","","Cantidad","","https://www.infinit.com.uy/imgs/productos/productos3_40319.jpg"
"1778255771-168","https://www.infinit.com.uy/catalogo/gamer/infinit/","249","Garantía: 1 AÑO / NUEVO","BFXSWP1","Volante FANATEC CSL_SW_P1_V2R_QR2L","","NEGRO","","FANATEC","0",",00","USD","Cód.","","","Color","Comprar","","","Antes","USD",",00","Precio","IVA inc.","En stock","En stock","","Cantidad","","https://www.infinit.com.uy/imgs/productos/productos3_39890.jpg"
"1778255771-169","https://www.infinit.com.uy/catalogo/gamer/infinit/","250","Garantía: 3 AÑOS / NUEVO","24GS60F","Monitor Gamer LG 24 24GS60F Ultra Gear 180Hz 1Ms Fhd 1080p Ips Amd FreeSync Hdr10","-1%","NEGRO","1","LG","253",",00","USD","Cód.","24""","Consultar","Medida","","","","Antes","USD",",00","Ahora","IVA inc.","Agotado","Agotado","Color","","%","https://www.infinit.com.uy/imgs/productos/productos3_33432.jpg"
"1778255771-170","https://www.infinit.com.uy/catalogo/gamer/infinit/","256","Garantía: 1 AÑO / NUEVO","EMDE10","Escritorio Electrico MARVO DE-10 Mesa Regulable En Altura Negro","-1%","NEGRO","1","MARVO","258",",00","USD","Cód.","","","Color","Comprar","","","Antes","USD",",00","Ahora","IVA inc.","En stock","En stock","","Cantidad","%","https://www.infinit.com.uy/imgs/productos/productos3_39700.jpg"
"1778255771-171","https://www.infinit.com.uy/catalogo/gamer/infinit/","260","Garantía: 1 AÑO / NUEVO","HX1473","Auricular HYPERX CLOUD III S Inalambricos Para PC MAC Ps5 Nintendo Switch NGENUITY","","ROJO","","HYPERX","0",",00","USD","Cód.","","","Color","Comprar","","","Antes","USD",",00","Precio","IVA inc.","En stock","En stock","","Cantidad","","https://www.infinit.com.uy/imgs/productos/productos3_40441.jpg"
"1778255771-172","https://www.infinit.com.uy/catalogo/gamer/infinit/","260","Garantía: 1 AÑO / NUEVO","HX1475","Auricular HYPERX CLOUD III S Inalambricos Para PC MAC Ps5 Nintendo Switch NGENUITY","","NEGRO","","HYPERX","0",",00","USD","Cód.","","","Color","Comprar","","","Antes","USD",",00","Precio","IVA inc.","En stock","En stock","","Cantidad","","https://www.infinit.com.uy/imgs/productos/productos3_40447.jpg"
"1778255771-173","https://www.infinit.com.uy/catalogo/gamer/infinit/","268","Garantía: 1 AÑO / NUEVO","SCELITEBLACK","Silla Gamer COUGAR ARMOR ELITE Soporta Hasta 120Kg Regulable Reclinable 160 Grados Almohadones","","NEGRO","","COUGAR","266",",00","USD","Cód.","","","Color","Comprar","","","Antes","USD",",00","Ahora","IVA inc.","En stock","En stock","","Cantidad","","https://www.infinit.com.uy/imgs/productos/productos3_29024.jpg"
"1778255771-174","https://www.infinit.com.uy/catalogo/gamer/infinit/","269","Garantía: 2 AÑOS / NUEVO","192269","Teclado Gamer LOGITECH Pro X Tkl Inalambrico Mecanico Switch LightSpeed","","BLANCO","","LOGITECH G","270",",00","USD","Cód.","","","Color","Comprar","","","Antes","USD",",00","Ahora","IVA inc.","En stock","En stock","","Cantidad","","https://www.infinit.com.uy/imgs/productos/productos3_37348.jpg"
