web_scraper_order,web_scraper_start_url,sku,position,description,name,data,data2,data3,brand,data4,data5,data6,data7,data8,data9,data10,data11,data12,data13,data14,data15,data16,data17,data18,data19,data20,data21,data22,data23,image
"1778257364-1","https://www.infinit.com.uy/catalogo/hardware/infinit/","2554","","6 MESES DE GARANTIA / EXTRAIDOS DE EQUIPOS","DISCO DURO 250GB 2.5 SATA OEM MARCAS VARIAS 5400RPM","","","","","Cód.","","2.5""","Consultar","","","","","","Agotado","Agotado","Medida","","","","","","","","","https://www.infinit.com.uy/imgs/productos/productos3_12635.jpg"
"1778257364-2","https://www.infinit.com.uy/catalogo/hardware/infinit/","PRV-MOT211","","Socket AMD Ryzen AM4","Motherboard ASUS TUF Gaming B550M-Plus WiFi II AM4","","","","ASUS","Cód.","","","Consultar","","","","Nuevo","","En stock","En stock","","","","","","","","","","https://www.infinit.com.uy/imgs/productos/productos3_41422.png"
"1778257364-3","https://www.infinit.com.uy/catalogo/hardware/infinit/","GRA100","1","Garantía: FUNCIONAL / NUEVO","Pasta Termica Grasa Siliconada 1grs","","","","","Cód.",",00","","","Comprar","0","USD","","","En stock","En stock","","","Cantidad",",00","Antes","USD","Precio","IVA inc.","","https://www.infinit.com.uy/imgs/productos/productos3_25761.jpg"
"1778257364-4","https://www.infinit.com.uy/catalogo/hardware/infinit/","821","5","1 AÑOS DE GARANTÍA / EXTRAIDAS DE EQUIPOS","Memoria Ram Sodimm 1Gb Ddr3 1333Mhz Generica Para Notebook Varias Marcas","-38%","","38","GENERICO","Cód.",",00","","","Comprar","8","USD","","","En stock","En stock","","","Cantidad",",00","Antes","USD","Ahora","IVA inc.","%","https://www.infinit.com.uy/imgs/productos/productos3_8590.jpg"
"1778257364-5","https://www.infinit.com.uy/catalogo/hardware/infinit/","PRV-COO60","5","1 Año de Garantía","Cooler DEEPCOOL CK-11509 Para Intel","","","","DEEPCOOL","Cód.",",80","","","Comprar","0","USD","","","En stock","En stock","","","Cantidad",",00","Antes","USD","Precio","IVA inc.","","https://www.infinit.com.uy/imgs/productos/productos3_37686.jpg"
"1778257364-6","https://www.infinit.com.uy/catalogo/hardware/infinit/","822","8","","Memoria RAM SodimmI 4Gb Ddr3 1600Mhz para Notebooks Varias Marcas","-47%","","47","","Cód.",",00","","Consultar","","15","USD","","","Agotado","Agotado","","","",",00","Antes","USD","Ahora","IVA inc.","%","https://www.infinit.com.uy/imgs/productos/productos3_38290.jpg"
"1778257364-7","https://www.infinit.com.uy/catalogo/hardware/infinit/","SHOTRGBCOOLING","10","Garantía: FUNCIONAL / NUEVO","Fan Cooler Shot Gaming 120mm Led Rgb Para Gabinete","-17%","NEGRO","17","SHOT GAMING","Cód.",",00","","Consultar","","12","USD","","","Agotado","Agotado","Color","","",",00","Antes","USD","Ahora","IVA inc.","%","https://www.infinit.com.uy/imgs/productos/productos3_27292.jpg"
"1778257364-8","https://www.infinit.com.uy/catalogo/hardware/infinit/","586","481","Garantía: 1 AÑO / NUEVO","Ventilador Raidmax 140mm Led Azul Cobra Fan Cooler","-15%","AZUL","15","RAIDMAX","Cód.","","140MM","","Comprar","565","$U","","Destacado","En stock","En stock","Medida","Color","Cantidad",",60","Antes","$U","Ahora","IVA inc.","%","https://www.infinit.com.uy/imgs/productos/productos3_8491.jpg"
"1778257364-9","https://www.infinit.com.uy/catalogo/hardware/infinit/","COO07","15","Garantía: 1 AÑO / NUEVO","Fan Cooler Cpu DEEPCOOL ICE Edge Mini Fs v2.0 Intel y Amd","","AZUL","","DEEPCOOL","Cód.",",00","","","Comprar","15","USD","","","En stock","En stock","Color","","Cantidad",",00","Antes","USD","Precio","IVA inc.","","https://www.infinit.com.uy/imgs/productos/productos3_11159.jpg"
"1778257364-10","https://www.infinit.com.uy/catalogo/hardware/infinit/","4044951028924","16","Garantía: 1 AÑO / NUEVO","Fan Cooler Ventilador Sharkoon Shark Light Rgb 120mm 20 Leds","-11%","NEGRO","11","SHARKOON","Cód.",",00","120MM","","Comprar","18","USD","","Destacado","En stock","En stock","Medida","Color","Cantidad",",00","Antes","USD","Ahora","IVA inc.","%","https://www.infinit.com.uy/imgs/productos/productos3_11772.jpg"
"1778257364-11","https://www.infinit.com.uy/catalogo/hardware/infinit/","FCPS500","17","GARANTIA FUNCIONAL / NUEVO","Fuente de Poder COMSTAR 500w Atx Generica Sata Molex Para Pc","-61%","","61","GENERICO","Cód.",",00","","","Comprar","44","USD","","","En stock","En stock","","","Cantidad",",00","Antes","USD","Ahora","IVA inc.","%","https://www.infinit.com.uy/imgs/productos/productos3_8735.jpg"
"1778257364-12","https://www.infinit.com.uy/catalogo/hardware/infinit/","MEM368","17","Garantía: 1 AÑO / NUEVO","Memoria Ram Sodimm HIKSEMI 4Gb Ddr3 1600Mhz","-15%","NEGRO","15","HIKSEMI","Cód.",",00","","","Comprar","20","USD","","","En stock","En stock","Color","","Cantidad",",00","Antes","USD","Ahora","IVA inc.","%","https://www.infinit.com.uy/imgs/productos/productos3_38287.jpg"
"1778257364-13","https://www.infinit.com.uy/catalogo/hardware/infinit/","BFXTG50","21","Garantía: FUNCIONAL / NUEVO","Pasta Termica Grasa Siliconada THERMALTAKE Tg-50 4grs Cl-O024-grosgm-a","","GRIS","","THERMALTAKE","Cód.",",00","","","Comprar","0","USD","","","En stock","En stock","Color","","Cantidad",",00","Antes","USD","Precio","IVA inc.","","https://www.infinit.com.uy/imgs/productos/productos3_30105.jpg"
"1778257364-14","https://www.infinit.com.uy/catalogo/hardware/infinit/","12306","30","Garantía: 1 AÑO / NUEVO","Memoria RAM Sodimm 4Gb Ddr4 3200Mhz Para Notebook Laptop Netbook","-14%","","14","OEM","Cód.",",00","","","Comprar","35","USD","","","En stock","En stock","","","Cantidad",",00","Antes","USD","Ahora","IVA inc.","%","https://www.infinit.com.uy/imgs/productos/productos3_21175.jpg"
"1778257364-15","https://www.infinit.com.uy/catalogo/hardware/infinit/","PRV-FAN75","30","1 Año de Garantía","Fan Cooler DEEPCOOL FC120 Argb Para Gabinetes","","","","DEEPCOOL","Cód.",",04","","","Comprar","0","USD","","","En stock","En stock","","","Cantidad",",00","Antes","USD","Precio","IVA inc.","","https://www.infinit.com.uy/imgs/productos/productos3_37724.jpg"
"1778257364-16","https://www.infinit.com.uy/catalogo/hardware/infinit/","PRV-FAN104","31","Compacto, silencioso e intuitivo","Cooler Disipador Cpu BE QUIET! Pure Rock Slim 3","","","","BE QUIET!","Cód.",",70","","","Comprar","0","USD","Nuevo","","En stock","En stock","","","Cantidad",",00","Antes","USD","Precio","IVA inc.","","https://www.infinit.com.uy/imgs/productos/productos3_41219.jpg"
"1778257364-17","https://www.infinit.com.uy/catalogo/hardware/infinit/","11220","37","Garantía: 1 AÑO / NEW PULL","Solido M.2 128GB Sk Hynix 2280 Sata 6.0 Gb/s","","VERDE","","VARIAS MARCAS","Cód.",",00","","Consultar","","16","USD","","","Agotado","Agotado","Color","","",",00","Antes","USD","Ahora","IVA inc.","","https://www.infinit.com.uy/imgs/productos/productos3_17170.jpg"
"1778257364-18","https://www.infinit.com.uy/catalogo/hardware/infinit/","COO99","39","Garantía: 1 AÑO / NUEVO","Cooler Disipador Cpu DEEPCOOL Gammaxx Ag400WH Argb Socket Lga1700 y Am5","-3%","BLANCO","3","DEEPCOOL","Cód.","","120MM","","Comprar","40","USD","","","En stock","En stock","Medida","Color","Cantidad","","Antes","USD","Ahora","IVA inc.","%","https://www.infinit.com.uy/imgs/productos/productos3_27975.jpg"
"1778257364-19","https://www.infinit.com.uy/catalogo/hardware/infinit/","SHOTSUP8012","39","Garantía: 6 MESES / NUEVO","Gabinete Gamer SHOT GAMING 8012 Atx Con Frente y Lateral De Vidrio Templado","-9%","NEGRO","9","SHOT GAMING","Cód.",",00","","","Comprar","43","USD","","","En stock","En stock","Color","","Cantidad",",00","Antes","USD","Ahora","IVA inc.","%","https://www.infinit.com.uy/imgs/productos/productos3_27245.jpg"
"1778257364-20","https://www.infinit.com.uy/catalogo/hardware/infinit/","H110LGA1151","40","Garantía: 6 MESES / RECERTIFICADO","Motherboard Foxconn SuperMicro X9SCL-F Socket LGA 1155/1151","-52%","","52","FOXCONN","Cód.",",00","","","Comprar","83","USD","","","En stock","En stock","","","Cantidad",",00","Antes","USD","Ahora","IVA inc.","%","https://www.infinit.com.uy/imgs/productos/productos3_31281.jpg"
"1778257364-21","https://www.infinit.com.uy/catalogo/hardware/infinit/","SHOTSUP8192","42","Garantía: 5 DIAS / NUEVO","Gabinete Gamer Shot Gaming 8192 Rgb Atx Con Lateral De Vidrio Templado","","NEGRO","","SHOT GAMING","Cód.",",00","","","Comprar","0","USD","","","En stock","En stock","Color","","Cantidad",",00","Antes","USD","Precio","IVA inc.","","https://www.infinit.com.uy/imgs/productos/productos3_29436.jpg"
"1778257364-22","https://www.infinit.com.uy/catalogo/hardware/infinit/","PRV-FAN105","42","Super compacto. Alto rendimiento","Cooler Disipador Cpu BE QUIET! Pure Rock 3","","","","BE QUIET!","Cód.",",90","","","Comprar","0","USD","Nuevo","","En stock","En stock","","","Cantidad",",00","Antes","USD","Precio","IVA inc.","","https://www.infinit.com.uy/imgs/productos/productos3_41222.jpg"
"1778257364-23","https://www.infinit.com.uy/catalogo/hardware/infinit/","SHOT801080A","43","Garantía: 6 MESES / NUEVO","Gabinete Gamer Shot Gaming 8010-80A Rgb Atx Con Lateral De Vidrio Templado","","","","SHOT GAMING","Cód.",",00","","","Comprar","0","USD","","","En stock","En stock","","","Cantidad",",00","Antes","USD","Precio","IVA inc.","","https://www.infinit.com.uy/imgs/productos/productos3_39990.jpg"
"1778257364-24","https://www.infinit.com.uy/catalogo/hardware/infinit/","SHOTSUP8335","44","Garantía: 6 MESES / NUEVO","Gabinete Gamer Shot Gaming 8335 Rgb Atx Con Lateral De Vidrio Templado","","BLANCO","","SHOT GAMING","Cód.",",00","","","Comprar","44","USD","","","En stock","En stock","Color","","Cantidad",",00","Antes","USD","Precio","IVA inc.","","https://www.infinit.com.uy/imgs/productos/productos3_27268.jpg"
"1778257364-25","https://www.infinit.com.uy/catalogo/hardware/infinit/","BFXMX90","44","Garantía: 1 AÑO / NUEVO","Disipador CPU ALSEYE M90 RGB Ventiladores 92mm Para Intel y Amd","","NEGRO","","ALSEYE","Cód.",",00","","","Comprar","0","USD","","","En stock","En stock","Color","","Cantidad",",00","Antes","USD","Precio","IVA inc.","","https://www.infinit.com.uy/imgs/productos/productos3_40568.jpg"
"1778257364-26","https://www.infinit.com.uy/catalogo/hardware/infinit/","PRV-FUE134","45","Fuente / 1 Año de Garantía","Fuente De Poder DEEPCOOL 450W 80 Plus White PF450D-HA","","","","DEEPCOOL","Cód.",",10","","","Comprar","0","USD","","","En stock","En stock","","","Cantidad",",00","Antes","USD","Precio","IVA inc.","","https://www.infinit.com.uy/imgs/productos/productos3_37459.jpg"
"1778257364-27","https://www.infinit.com.uy/catalogo/hardware/infinit/","FP50080PB","48","Garantía: 3 AÑOS / NUEVO","Fuente de Poder PERSEO 500w 80 Plus Bronce Para Pc","-8%","","8","PERSEO","Cód.",",00","","Consultar","","52","USD","","","Agotado","Agotado","","","",",00","Antes","USD","Ahora","IVA inc.","%","https://www.infinit.com.uy/imgs/productos/productos3_10807.jpg"
"1778257364-28","https://www.infinit.com.uy/catalogo/hardware/infinit/","TAR198","48","Garantía: 1 AÑO / NUEVO","Tarjeta De Video BIOSTAR G210 1Gb Ddr3 Nvidia GeForce Vga Hdmi Dvi","-17%","","17","BIOSTAR","Cód.",",00","","","Comprar","58","USD","","","En stock","En stock","","","Cantidad",",00","Antes","USD","Ahora","IVA inc.","%","https://www.infinit.com.uy/imgs/productos/productos3_21709.jpg"
"1778257364-29","https://www.infinit.com.uy/catalogo/hardware/infinit/","PRV-FAN106","48","Super compacto. Alto rendimiento","Cooler Disipador Cpu BE QUIET! Pure Rock 3 LX","","","","BE QUIET!","Cód.",",00","","","Comprar","0","USD","Nuevo","","En stock","En stock","","","Cantidad",",00","Antes","USD","Precio","IVA inc.","","https://www.infinit.com.uy/imgs/productos/productos3_41225.jpg"
"1778257364-30","https://www.infinit.com.uy/catalogo/hardware/infinit/","GAB151","49","Garantía: FUNCIONAL / NUEVO","Gabinete Gamer X-LIZZARD XZZ-GC-01 Argb 3 Fanes 120mm Argb Frente y Lateral Vidrio Templado","-16%","NEGRO","16","X-LIZZARD","Cód.",",00","","","Comprar","58","USD","","","En stock","En stock","Color","","Cantidad",",00","Antes","USD","Ahora","IVA inc.","%","https://www.infinit.com.uy/imgs/productos/productos3_8418.jpg"
"1778257364-31","https://www.infinit.com.uy/catalogo/hardware/infinit/","SHOTFA3148","49","Garantía: 6 MESES / NUEVO","Gabinete Gamer Shot Gaming FA3148 Rgb Atx Con Frontal de Acrilico","","NEGRO","","SHOT GAMING","Cód.",",00","","","Comprar","0","USD","","","En stock","En stock","Color","","Cantidad",",00","Antes","USD","Precio","IVA inc.","","https://www.infinit.com.uy/imgs/productos/productos3_37355.jpg"
"1778257364-32","https://www.infinit.com.uy/catalogo/hardware/infinit/","GCOCCCSHEXI5","50","Garantía: FUNCIONAL / NUEVO","Combo Gabinete COMSTAR GCOCS-CCSHEXIH con fuente de poder 550W Mid Tower Teclado Mouse y Parlantes","-6%","NEGRO","6","COMSTAR","Cód.",",00","","","Comprar","53","USD","","","En stock","En stock","Color","","Cantidad",",00","Antes","USD","Ahora","IVA inc.","%","https://www.infinit.com.uy/imgs/productos/productos3_36121.jpg"
"1778257364-33","https://www.infinit.com.uy/catalogo/hardware/infinit/","BFXCSG","50","Garantía: FUNCIONAL / NUEVO","Gabinete SPARTAN 173G22 Combo Fuente 600W Teclado y Mouse Atx","","","","","Cód.",",00","","","Comprar","0","USD","","","En stock","En stock","","","Cantidad",",00","Antes","USD","Precio","IVA inc.","","https://www.infinit.com.uy/imgs/productos/productos3_40848.jpg"
"1778257364-34","https://www.infinit.com.uy/catalogo/hardware/infinit/","I01456","51","Garantía: 1 AÑO / NUEVO","Gabinete Gamer Gravity Rg08 Rgb Frontal Atx Lateral De Vidrio Templado + 1 Fan Rgb 120mm","-9%","BLANCO","9","GRAVITY","Cód.",",00","","","Comprar","56","USD","","Destacado","En stock","En stock","NEGRO","","Cantidad",",00","Antes","USD","Ahora","IVA inc.","%","https://www.infinit.com.uy/imgs/productos/productos3_29682.jpg"
"1778257364-35","https://www.infinit.com.uy/catalogo/hardware/infinit/","FP55080PB","51","Garantía: 3 AÑOS / NUEVO","Fuente De Poder PERSEO 550w 80 Plus Bronce","-2%","NEGRO","2","PERSEO","Cód.",",00","","","Comprar","52","USD","","","En stock","En stock","Color","","Cantidad",",00","Antes","USD","Ahora","IVA inc.","%","https://www.infinit.com.uy/imgs/productos/productos3_36323.jpg"
"1778257364-36","https://www.infinit.com.uy/catalogo/hardware/infinit/","PRV-COO124","51","LED RGB direccionable.","Cooler DEEPCOOL AG400 Digital Blanco Argb Para Intel y AMD","","","","DEEPCOOL","Cód.",",40","","","Comprar","0","USD","","","En stock","En stock","","","Cantidad",",00","Antes","USD","Precio","IVA inc.","","https://www.infinit.com.uy/imgs/productos/productos3_37717.jpg"
"1778257364-37","https://www.infinit.com.uy/catalogo/hardware/infinit/","FP60080PB","53","Garantía: 3 AÑOS / NUEVO","Fuente De Poder PERSEO 600w Cert 80 Plus Bronce","-5%","NEGRO","5","PERSEO","Cód.",",00","","","Comprar","56","USD","","","En stock","En stock","Color","","Cantidad",",00","Antes","USD","Ahora","IVA inc.","%","https://www.infinit.com.uy/imgs/productos/productos3_8513.jpg"
"1778257364-38","https://www.infinit.com.uy/catalogo/hardware/infinit/","BFXNEM08","55","Garantía: 3 AÑOS / NUEVO","Memoria RAM Sodimm NETAC 8Gb Ddr3 1600Mhz","","","","NETAC","Cód.",",00","","","Comprar","28","USD","","","En stock","En stock","","","Cantidad",",00","Antes","USD","Ahora","IVA inc.","","https://www.infinit.com.uy/imgs/productos/productos3_26620.jpg"
"1778257364-39","https://www.infinit.com.uy/catalogo/hardware/infinit/","BFXNEM04","55","Garantía: 3 AÑOS / NUEVO","Memoria RAM NETAC 8Gb Ddr3 1600Mhz Basic 1.5v","","VERDE","","NETAC","Cód.",",00","","","Comprar","43","USD","","","En stock","En stock","Color","","Cantidad",",00","Antes","USD","Ahora","IVA inc.","","https://www.infinit.com.uy/imgs/productos/productos3_27551.jpg"
"1778257364-40","https://www.infinit.com.uy/catalogo/hardware/infinit/","PRV-FAN107","55","Super compacto. Alto rendimiento","Cooler Disipador Cpu BE QUIET! Pure Rock Pro 3","","","","BE QUIET!","Cód.",",10","","","Comprar","0","USD","Nuevo","","En stock","En stock","","","Cantidad",",00","Antes","USD","Precio","IVA inc.","","https://www.infinit.com.uy/imgs/productos/productos3_41228.jpg"
"1778257364-41","https://www.infinit.com.uy/catalogo/hardware/infinit/","CCF50ARGB","58","Garantía: 1 AÑO / NUEVO","Disipador Cpu COUGAR Forza 50 Argb 120mm Para Intel y Amd","-5%","NEGRO","5","COUGAR","Cód.",",00","","","Comprar","61","USD","","","En stock","En stock","Color","","Cantidad",",00","Antes","USD","Ahora","IVA inc.","%","https://www.infinit.com.uy/imgs/productos/productos3_31521.jpg"
"1778257364-42","https://www.infinit.com.uy/catalogo/hardware/infinit/","FP65080PB","58","Garantía: 3 AÑOS / NUEVO","Fuente De Poder PERSEO 650w 80 Plus Bronce","-9%","","9","PERSEO","Cód.",",00","","","Comprar","64","USD","","","En stock","En stock","","","Cantidad",",00","Antes","USD","Ahora","IVA inc.","%","https://www.infinit.com.uy/imgs/productos/productos3_35359.jpg"
"1778257364-43","https://www.infinit.com.uy/catalogo/hardware/infinit/","BFXS82X","58","Garantía: 1 AÑO / NUEVO","Gabinete Gamer XYZ MAVERICK MESH + 6 Fanes 120mm ARGB Usb y Audio Frontal Negro","","NEGRO","","XYZ","Cód.",",00","","","Comprar","0","USD","","","En stock","En stock","Color","","Cantidad",",00","Antes","USD","Precio","IVA inc.","","https://www.infinit.com.uy/imgs/productos/productos3_40506.jpg"
"1778257364-44","https://www.infinit.com.uy/catalogo/hardware/infinit/","FCXTC55080PW","59","Garantía: 2 AÑOS / NUEVO","Fuente De Poder COUGAR XTC 550w ARGB 80 Plus White Atx","","NEGRO","","COUGAR","Cód.",",00","","","Comprar","58","USD","","","En stock","En stock","Color","","Cantidad",",00","Antes","USD","Ahora","IVA inc.","","https://www.infinit.com.uy/imgs/productos/productos3_29179.jpg"
"1778257364-45","https://www.infinit.com.uy/catalogo/hardware/infinit/","210011","59","Garantía: 1 AÑO / NUEVO","Fuente De Poder AEROCOOL CYLON RGB 500w 80P White","","","","AEROCOOL","Cód.",",00","","","Comprar","0","USD","","","En stock","En stock","","","Cantidad",",00","Antes","USD","Precio","IVA inc.","","https://www.infinit.com.uy/imgs/productos/productos3_36131.jpg"
"1778257364-46","https://www.infinit.com.uy/catalogo/hardware/infinit/","PSAZ650W","61","Garantía: 1 AÑO / NUEVO","Fuente De Poder AZZA PSAZ-650W 650w Certificado 80 Plus Bronce","-3%","","3","AZZA","Cód.",",00","","","Comprar","63","USD","","","En stock","En stock","","","Cantidad",",00","Antes","USD","Ahora","IVA inc.","%","https://www.infinit.com.uy/imgs/productos/productos3_35709.jpg"
"1778257364-47","https://www.infinit.com.uy/catalogo/hardware/infinit/","BFXSA961","61","Garantía: 1 AÑO / NUEVO","Gabinete Gamer XYZ 300-X MESH + 6 Fanes 120mm ARGB Usb y Audio Frontal Negro","-8%","NEGRO","8","XYZ","Cód.",",00","","","Comprar","66","USD","","","En stock","En stock","Color","","Cantidad",",00","Antes","USD","Ahora","IVA inc.","%","https://www.infinit.com.uy/imgs/productos/productos3_40511.jpg"
"1778257364-48","https://www.infinit.com.uy/catalogo/hardware/infinit/","GCPURITRGBBK","63","Garantía: 1 AÑO / NUEVO","Gabinete COUGAR Purity Rgb Mini Tower 1 Fan Argb Vidrio Templado Lateral","","NEGRO","","COUGAR","Cód.",",00","","","Comprar","63","USD","","","En stock","En stock","Color","","Cantidad",",00","Antes","USD","Precio","IVA inc.","","https://www.infinit.com.uy/imgs/productos/productos3_23742.jpg"
"1778257364-49","https://www.infinit.com.uy/catalogo/hardware/infinit/","COO97","63","Garantía: 1 AÑO / NUEVO","Water Cooler Liquida Cpu DEEPCOOL LE300 Rgb Inte S1700 Amd AM5","","NEGRO","","DEEPCOOL","Cód.",",00","","","Comprar","0","USD","","","En stock","En stock","Color","","Cantidad",",00","Antes","USD","Precio","IVA inc.","","https://www.infinit.com.uy/imgs/productos/productos3_33163.jpg"
"1778257364-50","https://www.infinit.com.uy/catalogo/hardware/infinit/","PRV-FAN76","66","1 Año de Garantía","Fan Cooler DEEPCOOL FC120 ARGB Blanco 3 en 1 Para Gabinetes","","","","DEEPCOOL","Cód.",",49","","","Comprar","0","USD","","","En stock","En stock","","","Cantidad",",00","Antes","USD","Precio","IVA inc.","","https://www.infinit.com.uy/imgs/productos/productos3_37726.jpg"
"1778257364-51","https://www.infinit.com.uy/catalogo/hardware/infinit/","PRV-FAN73","66","1 Año de Garantía","Fan Cooler DEEPCOOL FC120 ARGB Negro 3 en 1 para Gabinetes","","","","DEEPCOOL","Cód.",",50","","","Comprar","0","USD","","","En stock","En stock","","","Cantidad",",00","Antes","USD","Precio","IVA inc.","","https://www.infinit.com.uy/imgs/productos/productos3_37690.jpg"
"1778257364-52","https://www.infinit.com.uy/catalogo/hardware/infinit/","BFXSSF18","67","Garantía: 3 AÑOS / NUEVO","Fuente De Poder SEASONIC 500w 80 Plus White A12 Ssr-500ra","-1%","NEGRO","1","SEASONIC","Cód.",",00","","","Comprar","68","USD","","","En stock","En stock","Color","","Cantidad",",00","Antes","USD","Ahora","IVA inc.","%","https://www.infinit.com.uy/imgs/productos/productos3_12186.jpg"
"1778257364-53","https://www.infinit.com.uy/catalogo/hardware/infinit/","FCATLAS550","67","Garantía: 2 AÑOS / NUEVO","Fuente De Poder COUGAR Atlas 550 550w 80 Plus Bronce","-1%","NEGRO","1","COUGAR","Cód.",",00","","","Comprar","68","USD","","","En stock","En stock","Color","","Cantidad",",00","Antes","USD","Ahora","IVA inc.","%","https://www.infinit.com.uy/imgs/productos/productos3_35349.jpg"
"1778257364-54","https://www.infinit.com.uy/catalogo/hardware/infinit/","KITSHOTSUP8012","68","Garantía: 6 MESES / NUEVO","Gabinete Gamer Shot Gaming 8012 + 3 Fanes Rgb 120mm Atx Con Frente y Lateral De Vidrio Templado","-3%","NEGRO","3","SHOT GAMING","Cód.",",00","","","Comprar","70","USD","","","En stock","En stock","Color","","Cantidad",",00","Antes","USD","Ahora","IVA inc.","%","https://www.infinit.com.uy/imgs/productos/productos3_29294.jpg"
"1778257364-55","https://www.infinit.com.uy/catalogo/hardware/infinit/","BFXAIRO2G","68","Garantía: 1 AÑO / NUEVO","Gabinete Gamer XYZ AIRONE 200 GLASS + 5 Fanes 120mm ARGB Usb y Audio Frontal Negro y Blanco","","NEGRO/BLANCO","","XYZ","Cód.",",00","","","Comprar","0","USD","","","En stock","En stock","Color","","Cantidad",",00","Antes","USD","Precio","IVA inc.","","https://www.infinit.com.uy/imgs/productos/productos3_38984.jpg"
"1778257364-56","https://www.infinit.com.uy/catalogo/hardware/infinit/","KITSHOTSUP8013","71","Garantía: 6 MESES / NUEVO","Gabinete Gamer Shot Gaming 8013 Rgb Atx Con Lateral De Vidrio Templado + 3 Fanes Rgb 120mm","-9%","NEGRO","9","SHOT GAMING","Cód.",",00","","","Comprar","78","USD","","Destacado","En stock","En stock","Color","","Cantidad",",00","Antes","USD","Ahora","IVA inc.","%","https://www.infinit.com.uy/imgs/productos/productos3_27744.jpg"
"1778257364-57","https://www.infinit.com.uy/catalogo/hardware/infinit/","BFXSSF19","73","Garantía: 3 AÑOS / NUEVO","Fuente De Poder SEASONIC 600w 80 Plus White A12 Ssr-600ra","-1%","NEGRO","1","SEASONIC","Cód.",",00","","Consultar","","74","USD","","","Agotado","Agotado","Color","","",",00","Antes","USD","Ahora","IVA inc.","%","https://www.infinit.com.uy/imgs/productos/productos3_12179.jpg"
"1778257364-58","https://www.infinit.com.uy/catalogo/hardware/infinit/","BFXS84E","73","Garantía: 1 AÑO / NUEVO","Water Cooler Liquida CPU XYZ AQUAPULSE 240 Argb Socket Para Intel y AMD","","NEGRO","","XYZ","Cód.",",00","","","Comprar","0","USD","","","En stock","En stock","Color","","Cantidad",",00","Antes","USD","Precio","IVA inc.","","https://www.infinit.com.uy/imgs/productos/productos3_40550.jpg"
"1778257364-59","https://www.infinit.com.uy/catalogo/hardware/infinit/","BFXTTC105","74","Garantía: 1 AÑO / NUEVO","Disipador Cpu Thermaltake Toughair 510 Para Socket Amd Am4 Intel S1700","-4%","NEGRO","4","THERMALTAKE","Cód.",",00","120MM","","Comprar","77","USD","","","En stock","En stock","Medida","Color","Cantidad",",00","Antes","USD","Ahora","IVA inc.","%","https://www.infinit.com.uy/imgs/productos/productos3_21385.jpg"
"1778257364-60","https://www.infinit.com.uy/catalogo/hardware/infinit/","GCMX360RGB","75","Garantía: 1 AÑO / NUEVO","Gabinete Gamer COUGAR MX360 ARGB Mid Tower 1 Fan Argb Vidrio Templado Lateral","","NEGRO","","COUGAR","Cód.",",00","","","Comprar","0","USD","","","En stock","En stock","Color","","Cantidad",",00","Antes","USD","Precio","IVA inc.","","https://www.infinit.com.uy/imgs/productos/productos3_27583.jpg"
"1778257364-61","https://www.infinit.com.uy/catalogo/hardware/infinit/","PRV-COO142","75","1 Año de Garantía","Cooler DEEPCOOL AG620 Argb Blanco Para Intel y AMD","","","","DEEPCOOL","Cód.",",18","","","Comprar","0","USD","","","En stock","En stock","","","Cantidad",",00","Antes","USD","Precio","IVA inc.","","https://www.infinit.com.uy/imgs/productos/productos3_37722.jpg"
"1778257364-62","https://www.infinit.com.uy/catalogo/hardware/infinit/","PRV-FAN109","75","Super compacto. Alto rendimiento","Cooler Disipador Cpu BE QUIET! Pure Rock Pro 3 LX","","","","BE QUIET!","Cód.",",20","","","Comprar","0","USD","Nuevo","","En stock","En stock","","","Cantidad",",00","Antes","USD","Precio","IVA inc.","","https://www.infinit.com.uy/imgs/productos/productos3_41231.jpg"
"1778257364-63","https://www.infinit.com.uy/catalogo/hardware/infinit/","9117C96017","76","Garantía: 3 AÑOS / NUEVO","Motherboard MSI A520M-A Pro Series Socket Am4 Para Amd","-1%","","1","MSI","Cód.",",00","","","Comprar","77","USD","","","En stock","En stock","","","Cantidad",",00","Antes","USD","Ahora","IVA inc.","%","https://www.infinit.com.uy/imgs/productos/productos3_24098.jpg"
"1778257364-64","https://www.infinit.com.uy/catalogo/hardware/infinit/","FCATLAS600","76","Garantía: 1 AÑO / NUEVO","Fuente De Poder COUGAR Atlas 600w 80 Plus Bronce CGR BA-600","-1%","NEGRO","1","COUGAR","Cód.",",00","","","Comprar","77","USD","","","En stock","En stock","Color","","Cantidad",",00","Antes","USD","Ahora","IVA inc.","%","https://www.infinit.com.uy/imgs/productos/productos3_35785.jpg"
"1778257364-65","https://www.infinit.com.uy/catalogo/hardware/infinit/","BFXTESX5","77","Garantía: 1 AÑO / NUEVO","Gabinete Gamer XYZ TESSERACT X 50 + 6 Fanes 120mm ARGB Usb y Audio Frontal Negro","-1%","NEGRO","1","XYZ","Cód.",",00","","","Comprar","78","USD","","","En stock","En stock","Color","","Cantidad",",00","Antes","USD","Ahora","IVA inc.","%","https://www.infinit.com.uy/imgs/productos/productos3_38991.jpg"
