web_scraper_order,web_scraper_start_url,price,description,sku,name,data,data2,data3,brand,data4,data5,data6,data7,data8,data9,data10,data11,data12,data13,data14,data15,data16,data17,data18,data19,data20,data21,image
"1778257012-52","https://www.infinit.com.uy/catalogo/perifericos/infinit/","52","Garantía: 3 AÑOS / NUEVO","BFX25M","Memoria Micro SD PATRIOT 256Gb SDXC C30 A1 30MB/s C10 + Adaptador","","","","PATRIOT","0","USD","Cód.","Comprar","","","","Antes","USD",",00","Precio","IVA inc.",",00","En stock","En stock","Cantidad","","","https://www.infinit.com.uy/imgs/productos/productos3_40205.jpg"
"1778257012-53","https://www.infinit.com.uy/catalogo/perifericos/infinit/","56","Garantía: FUNCIONAL / NUEVO","I02031","Combo FANTECH P51 5 en 1 Teclado - Mouse - Auricular - Mouse pad - Soporte para auriculares Usb","","BLANCO","","FANTECH","0","USD","Cód.","Comprar","","","","Antes","USD",",00","Precio","IVA inc.",",00","En stock","En stock","Cantidad","Color","","https://www.infinit.com.uy/imgs/productos/productos3_38462.jpg"
"1778257012-54","https://www.infinit.com.uy/catalogo/perifericos/infinit/","60","Garantía: 1 Año de Garantía / Nuevo","195740","Combo LOGITECH MK540 Tecladoy Mouse Inalambrico 10mt Alcance Unifying Nano Receptor Usb","","NEGRO","","LOGITECH","60","USD","Cód.","","Consultar","","","Antes","USD",",00","Precio","IVA inc.",",00","Agotado","Agotado","","Color","","https://www.infinit.com.uy/imgs/productos/productos3_12265.jpg"
"1778257012-55","https://www.infinit.com.uy/catalogo/perifericos/infinit/","68","Garantía: 2 Años de Garantía / Nuevo","195888","Camara Web Logitech C505 Hd 720p Usb","","NEGRO","","LOGITECH","31","USD","Cód.","Comprar","","","Destacado","Antes","USD",",00","Ahora","IVA inc.",",00","En stock","En stock","Cantidad","Color","","https://www.infinit.com.uy/imgs/productos/productos3_16326.jpg"
"1778257012-56","https://www.infinit.com.uy/catalogo/perifericos/infinit/","68","Garantía: 2 AÑOS / NUEVO","192114","Mouse Logitech Vertical Ergo Lift Bt 4000Dpi 6 Botones","-3%","NEGRO","3","LOGITECH","70","USD","Cód.","Comprar","","","","Antes","USD",",00","Ahora","IVA inc.",",00","En stock","En stock","Cantidad","Color","%","https://www.infinit.com.uy/imgs/productos/productos3_24293.jpg"
"1778257012-57","https://www.infinit.com.uy/catalogo/perifericos/infinit/","74","Garantía: 1 AÑO / NUEVO","BFXSA51T","Memoria Micro SD NETAC 512Gb P500 Pro 100Mb/s C10 + Adaptador","","","","NETAC","0","USD","Cód.","Comprar","","","","Antes","USD",",00","Precio","IVA inc.",",00","En stock","En stock","Cantidad","","","https://www.infinit.com.uy/imgs/productos/productos3_40208.jpg"
"1778257012-58","https://www.infinit.com.uy/catalogo/perifericos/infinit/","77","2 Años de Garantía / Nuevo","195755","Auricular Logitech H570e Stereo Headset Con Microfono Usb","","NEGRO","","LOGITECH","0","USD","Cód.","Comprar","","","Destacado","Antes","USD",",00","Precio","IVA inc.",",00","En stock","En stock","Cantidad","Color","","https://www.infinit.com.uy/imgs/productos/productos3_15856.jpg"
"1778257012-59","https://www.infinit.com.uy/catalogo/perifericos/infinit/","85","Garantía: 2 AÑOS / NUEVO","COM113","Combo Logitech Mk520 Tecladoy Mouse Inalambrico 10mt Alcance Nano Receptor Usb","","NEGRO","","LOGITECH","0","USD","Cód.","Comprar","","","Destacado","Antes","USD",",00","Precio","IVA inc.",",00","En stock","En stock","Cantidad","Color","","https://www.infinit.com.uy/imgs/productos/productos3_31920.jpg"
"1778257012-60","https://www.infinit.com.uy/catalogo/perifericos/infinit/","102","Garantía: 1 Año de Garantía / Nuevo","192376","Mouse LOGITECH MX Vertical 4000dpi Inalambrico 10mts","","NEGRO","","LOGITECH","0","USD","Cód.","Comprar","","","","Antes","USD",",00","Precio","IVA inc.",",00","En stock","En stock","Cantidad","Color","","https://www.infinit.com.uy/imgs/productos/productos3_14244.jpg"
"1778257012-61","https://www.infinit.com.uy/catalogo/perifericos/infinit/","104","Garantía: 2 AÑOS / NUEVO","BFXFACNE","Webcam ELGATO Facecam Neo FullHD 1080p 60Fps","-38%","BLANCO","38","ELGATO","169","USD","Cód.","","Consultar","","","Antes","USD",",00","Ahora","IVA inc.",",00","Agotado","Agotado","","Color","%","https://www.infinit.com.uy/imgs/productos/productos3_35689.jpg"
